# Plataforma: APPCR Muelle CC
# Tipo: Estación Meteorológica
# Periodo: 2025-08-01 / 2025-08-31
# Generado: 2026-05-07 14:50:59 UTC
# Timestamps: 2496  Variables: 9
# Separador: TAB  |  Valor ausente: NaN
timestamp	Bar[hPa]	Dew Point Out[°C]	Heat Index Out[°C]	Rainfall Clicks[muestras]	Temp In[°C]	Temp Out[°C]	Wind Chill[°C]	Wind Dir Of Prevail[°]	Wind Speed Avg[km/h]
2025-08-27 16:00:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:01:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:02:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:03:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:10:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:11:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:12:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:13:03	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:20:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:21:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:22:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:23:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:30:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:31:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:32:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:33:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:40:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:41:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:42:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:43:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:50:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:51:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:52:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 16:53:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 17:00:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 17:01:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 17:02:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 17:03:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 17:10:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 17:11:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
