# Plataforma: Estación EMAC - Caleta Córdova CMD0
# Tipo: Estación Meteorológica
# Periodo: 2026-05-01 / 2026-05-31
# Generado: 2026-06-04 15:45:31 UTC
# Timestamps: 4029  Variables: 4
# Separador: TAB  |  Valor ausente: NaN
timestamp	Dirección del Viento[°]	Nivel del Agua[m]	Temperatura Exterior[°C]	Velocidad del Viento[km/h]
2026-05-04 00:00:00	270.0	1.21	14.14	13.7
2026-05-04 00:10:00	270.0	1.21	13.97	31.3
2026-05-04 00:20:00	270.0	1.21	13.81	27.4
2026-05-04 00:30:00	270.0	1.21	13.81	20.9
2026-05-04 00:40:00	315.0	1.21	13.89	39.4
2026-05-04 00:50:00	247.5	1.21	13.97	44.8
2026-05-04 01:00:00	270.0	1.21	13.89	29.3
2026-05-04 01:10:00	270.0	1.21	13.81	22.9
2026-05-04 01:20:00	247.5	1.21	13.64	22.7
2026-05-04 01:30:00	247.5	1.21	13.64	23.6
2026-05-04 01:40:00	247.5	1.21	13.81	33.7
2026-05-04 01:50:00	270.0	1.21	13.64	39.4
2026-05-04 02:00:00	292.5	1.21	13.81	35.8
2026-05-04 02:10:00	270.0	1.21	13.72	38.0
2026-05-04 02:20:00	270.0	1.21	13.55	36.4
2026-05-04 02:30:00	247.5	1.21	13.64	29.3
2026-05-04 02:40:00	292.5	1.21	13.64	29.0
2026-05-04 02:50:00	292.5	1.21	13.72	10.6
2026-05-04 03:00:00	292.5	1.21	13.72	23.0
2026-05-04 03:10:00	247.5	1.21	13.64	29.9
2026-05-04 03:20:00	292.5	1.21	13.72	40.3
2026-05-04 03:30:00	292.5	1.21	13.81	35.3
2026-05-04 03:40:00	292.5	1.21	13.89	22.1
2026-05-04 03:50:00	292.5	1.21	13.89	39.8
2026-05-04 04:00:00	247.5	1.21	13.81	56.2
2026-05-04 04:10:00	270.0	1.21	13.89	45.7
2026-05-04 04:20:00	292.5	1.21	13.97	40.5
2026-05-04 04:30:00	247.5	1.21	13.97	42.5
2026-05-04 04:40:00	270.0	1.21	13.97	58.1
2026-05-04 04:50:00	247.5	1.21	14.06	47.5
2026-05-04 05:00:00	270.0	1.21	14.22	51.1
2026-05-04 05:10:00	247.5	1.21	14.06	54.5
2026-05-04 05:20:00	270.0	1.21	13.89	37.3
2026-05-04 05:30:00	247.5	1.21	13.97	62.1
2026-05-04 05:40:00	270.0	1.21	13.72	45.4
2026-05-04 05:50:00	270.0	1.21	13.47	53.1
2026-05-04 06:00:00	270.0	1.21	13.47	56.3
