# Plataforma: Estación EMAC - Caleta Córdova CMD0
# Tipo: Estación Meteorológica
# Periodo: 2026-06-01 / 2026-06-30
# Generado: 2026-07-01 12:26:43 UTC
# Timestamps: 4320  Variables: 3
# Separador: TAB  |  Valor ausente: NaN
timestamp	Dirección del Viento[°]	Temperatura Exterior[°C]	Velocidad del Viento[km/h]
2026-06-01 00:00:00	67.5	8.46	16.9
2026-06-01 00:10:00	45.0	8.55	5.9
2026-06-01 00:20:00	67.5	8.38	9.4
2026-06-01 00:30:00	67.5	8.3	14.4
2026-06-01 00:40:00	67.5	8.13	21.1
2026-06-01 00:50:00	67.5	7.8	13.0
2026-06-01 01:00:00	67.5	7.88	18.0
2026-06-01 01:10:00	67.5	7.96	0.0
2026-06-01 01:20:00	90.0	8.13	13.9
2026-06-01 01:30:00	0.0	8.3	4.0
2026-06-01 01:40:00	0.0	8.63	18.4
2026-06-01 01:50:00	315.0	8.21	5.6
2026-06-01 02:00:00	337.5	8.46	3.8
2026-06-01 02:10:00	0.0	8.3	0.0
2026-06-01 02:20:00	0.0	8.13	14.6
2026-06-01 02:30:00	45.0	8.3	22.7
2026-06-01 02:40:00	337.5	7.47	13.7
2026-06-01 02:50:00	315.0	7.3	9.7
2026-06-01 03:00:00	337.5	7.55	12.2
2026-06-01 03:10:00	337.5	7.38	7.7
2026-06-01 03:20:00	337.5	7.47	17.5
2026-06-01 03:30:00	0.0	7.3	28.6
2026-06-01 03:40:00	337.5	6.88	13.3
2026-06-01 03:50:00	337.5	7.22	10.8
2026-06-01 04:00:00	337.5	7.55	9.7
2026-06-01 04:10:00	0.0	8.13	17.3
2026-06-01 04:20:00	337.5	8.05	23.0
2026-06-01 04:30:00	0.0	8.05	18.9
2026-06-01 04:40:00	0.0	7.96	18.0
2026-06-01 04:50:00	337.5	8.05	17.3
2026-06-01 05:00:00	337.5	7.88	17.3
2026-06-01 05:10:00	337.5	7.88	19.8
2026-06-01 05:20:00	337.5	8.05	22.1
2026-06-01 05:30:00	0.0	8.05	13.7
2026-06-01 05:40:00	0.0	8.05	27.0
2026-06-01 05:50:00	0.0	8.21	24.3
2026-06-01 06:00:00	0.0	8.05	28.8
2026-06-01 06:10:00	0.0	7.96	26.8
2026-06-01 06:20:00	337.5	7.71	16.4
2026-06-01 06:30:00	337.5	7.47	15.7
2026-06-01 06:40:00	0.0	7.55	16.2
2026-06-01 06:50:00	0.0	7.88	25.7
2026-06-01 07:00:00	0.0	7.96	33.3
2026-06-01 07:10:00	0.0	7.96	24.5
2026-06-01 07:20:00	0.0	8.05	35.6
2026-06-01 07:30:00	0.0	8.05	23.0
2026-06-01 07:40:00	0.0	7.96	35.8
2026-06-01 07:50:00	0.0	7.88	32.8
2026-06-01 08:00:00	0.0	7.96	33.1
2026-06-01 08:10:00	0.0	8.13	31.7
2026-06-01 08:20:00	0.0	8.05	36.0
2026-06-01 08:30:00	337.5	8.05	31.3
2026-06-01 08:40:00	0.0	8.21	36.0
2026-06-01 08:50:00	0.0	8.13	34.2
2026-06-01 09:00:00	0.0	8.05	34.4
2026-06-01 09:10:00	0.0	8.13	40.0
2026-06-01 09:20:00	337.5	7.96	34.6
2026-06-01 09:30:00	337.5	7.96	35.1
2026-06-01 09:40:00	0.0	7.96	36.0
2026-06-01 09:50:00	0.0	8.13	29.7
2026-06-01 10:00:00	45.0	8.05	33.8
2026-06-01 10:10:00	0.0	8.13	17.6
2026-06-01 10:20:00	337.5	8.13	50.4
2026-06-01 10:30:00	22.5	8.05	49.7
2026-06-01 10:40:00	22.5	8.13	22.1
2026-06-01 10:50:00	0.0	8.13	24.5
2026-06-01 11:00:00	0.0	7.96	15.3
2026-06-01 11:10:00	337.5	8.05	29.9
2026-06-01 11:20:00	0.0	7.96	33.8
2026-06-01 11:30:00	0.0	7.96	20.5
2026-06-01 11:40:00	22.5	7.96	20.7
2026-06-01 11:50:00	337.5	7.96	17.6
2026-06-01 12:00:00	337.5	8.05	30.1
2026-06-01 12:10:00	0.0	7.96	31.9
2026-06-01 12:20:00	0.0	7.88	33.8
2026-06-01 12:30:00	337.5	7.8	21.6
2026-06-01 12:40:00	0.0	7.8	28.4
2026-06-01 12:50:00	337.5	7.71	27.5
2026-06-01 13:00:00	337.5	7.71	26.1
2026-06-01 13:10:00	0.0	7.71	31.0
2026-06-01 13:20:00	0.0	7.88	30.6
2026-06-01 13:30:00	22.5	8.13	19.4
2026-06-01 13:40:00	22.5	8.13	21.6
2026-06-01 13:50:00	22.5	8.21	11.0
2026-06-01 14:00:00	67.5	8.38	29.9
2026-06-01 14:10:00	67.5	8.46	11.5
2026-06-01 14:20:00	22.5	8.46	16.2
2026-06-01 14:30:00	337.5	8.63	11.2
2026-06-01 14:40:00	67.5	8.71	18.5
2026-06-01 14:50:00	22.5	8.71	34.2
2026-06-01 15:00:00	22.5	8.71	37.8
2026-06-01 15:10:00	0.0	8.8	28.8
2026-06-01 15:20:00	0.0	8.96	23.2
2026-06-01 15:30:00	45.0	8.88	26.8
2026-06-01 15:40:00	337.5	8.96	24.8
2026-06-01 15:50:00	22.5	9.05	29.2
2026-06-01 16:00:00	22.5	9.13	25.7
2026-06-01 16:10:00	0.0	9.13	52.9
2026-06-01 16:20:00	337.5	9.3	35.8
2026-06-01 16:30:00	22.5	9.3	42.7
2026-06-01 16:40:00	0.0	9.3	47.2
2026-06-01 16:50:00	22.5	9.46	41.8
2026-06-01 17:00:00	22.5	9.46	32.6
2026-06-01 17:10:00	0.0	9.55	42.7
2026-06-01 17:20:00	0.0	9.46	48.6
2026-06-01 17:30:00	22.5	9.63	36.2
2026-06-01 17:40:00	337.5	9.63	34.4
2026-06-01 17:50:00	0.0	9.63	46.4
2026-06-01 18:00:00	22.5	9.63	41.2
2026-06-01 18:10:00	22.5	9.55	35.5
2026-06-01 18:20:00	0.0	9.63	32.6
2026-06-01 18:30:00	22.5	9.88	23.2
2026-06-01 18:40:00	22.5	9.96	32.4
2026-06-01 18:50:00	0.0	9.88	34.9
2026-06-01 19:00:00	0.0	10.05	39.6
2026-06-01 19:10:00	22.5	9.96	43.7
2026-06-01 19:20:00	22.5	10.05	35.6
2026-06-01 19:30:00	337.5	9.96	34.9
2026-06-01 19:40:00	22.5	10.05	26.8
2026-06-01 19:50:00	45.0	10.13	20.7
2026-06-01 20:00:00	45.0	10.13	20.7
2026-06-01 20:10:00	0.0	10.21	27.2
2026-06-01 20:20:00	22.5	10.13	35.1
2026-06-01 20:30:00	45.0	10.13	18.9
2026-06-01 20:40:00	45.0	10.21	16.2
2026-06-01 20:50:00	337.5	10.21	20.7
2026-06-01 21:00:00	315.0	10.21	19.1
2026-06-01 21:10:00	337.5	10.21	22.1
2026-06-01 21:20:00	22.5	10.21	20.2
2026-06-01 21:30:00	337.5	10.21	26.6
2026-06-01 21:40:00	0.0	10.21	25.9
2026-06-01 21:50:00	22.5	10.3	34.7
2026-06-01 22:00:00	0.0	10.38	34.9
2026-06-01 22:10:00	337.5	10.38	30.2
2026-06-01 22:20:00	0.0	10.38	19.6
2026-06-01 22:30:00	45.0	10.38	29.7
2026-06-01 22:40:00	45.0	10.38	20.2
2026-06-01 22:50:00	22.5	10.46	15.3
2026-06-01 23:00:00	67.5	10.46	19.8
2026-06-01 23:10:00	0.0	10.46	24.1
2026-06-01 23:20:00	0.0	10.46	18.7
2026-06-01 23:30:00	112.5	10.46	4.7
2026-06-01 23:40:00	22.5	10.46	3.8
2026-06-01 23:50:00	67.5	10.55	7.7
2026-06-02 00:00:00	112.5	10.55	6.5
2026-06-02 00:10:00	45.0	10.55	11.3
2026-06-02 00:20:00	0.0	10.55	13.1
2026-06-02 00:30:00	22.5	10.63	17.3
2026-06-02 00:40:00	22.5	10.71	17.3
2026-06-02 00:50:00	90.0	10.71	8.8
2026-06-02 01:00:00	0.0	10.63	3.8
2026-06-02 01:10:00	22.5	10.71	12.8
2026-06-02 01:20:00	0.0	10.71	23.6
2026-06-02 01:30:00	67.5	10.8	22.1
2026-06-02 01:40:00	0.0	10.8	38.9
2026-06-02 01:50:00	337.5	11.22	40.7
2026-06-02 02:00:00	45.0	10.88	7.4
2026-06-02 02:10:00	0.0	10.88	43.7
